anyway,とにかく,Let's try anyway.(P10)
following,～に続いて、次の、以下の,Following the speech,we had dinner.(P10)
refer,参照する、言及する、（人を）紹介する,Please refer to the map.(P10)
available,入手できる、利用できる、購入できる、手が空いている,Tickets are available online.(P10)
department,部門、売り場,the sales department(P10)
conference,会議,a large conference room(P10)
according to,～によると、～に従って,according to the e-mail(P10)
likely,おそらく、～しそうだ,Who most likely is the woman?(P10)
offer,申し出る、提供する、申し出,What does the man offer to do?(P10)
equipmemt,機器、装備,new office equipment(P10)
provide,提供する,Please provide me with your e-mail address.(P12)
local,地元の、地元の人,local businesses(P12)
purchase,購入する、購入品,purchace tickets(P12)
opening,空き、開店,a job opening(P12)
construction,建設,construction profect(P12)
tour,見学する、旅行する、見学、旅行,while touring the factory(P12)
research,研究、調査、研究する、調査する,market research(P12)
attend,出席する、参加する,attend a meeting(P12)
delivery,配達(物),change delivery date(P12)
recently,最近,I recently bought a printer.(P12)
indicate,示す,What is indicated about Mr.Kato?(P14)
employee,従業員、社員,an employee of a hotel(P14)
additional,追加の,request additional ataff(P14)
survey,アンケート調査、アンケート調査を行う,a customer survey(P14)
review,検討する、論評する、検討、論評,review a report(P14)
production,生産、作品,the production area(P14)
located,位置して,coveniently located near a subway station(P14)
detail,詳細、詳しく述べる,details of plan(P14)
annouence,発表する,announce the winners(P14)
repair,修理、修理する,a computer repair shop(P14)
increase,増加、増える、増やす,an increase in sales(P16)
include,含む,What is NOT included in the form?(P16)
currently,現在,The item is currently out of stock.(P16)
advertising,広告(業)、宣伝(活動),an advertising campaign(P16)
charge,請求する、料金、責任,We charge $50 for the service.(P16)
expect,予期する、予定する,Mr.Kato is expected to arrive tomorrow.(P16)
firm,会社,a family-owned firm(P16)
cliant,顧客,visit a cliant(P16)
financial,お金の、財務の、金融の,financial sapport from the government(P16)
annual,年に一度の、毎年恒例の、年間の,an annual report(P16)
payment,支払い,make an online payment(P18)
budget,予算、予算に計上する,this year's budget(P18)
application,応募要項、応募、申請,fill out an application(P18)
contract,契約(書),before signing a contract(P18)
management,経営(陣)、管理,a managment seminar(P18)
performance,業績、仕事ぶり、性能、公演,an enployee's performance(P18)
pleased,喜んで、満足して,We are pleased with the final result.(P18)
confirm,確認する,confirm a payment(P18)
award,賞、授与する,awards ceremony(P18)
clothing,衣類,a clothing store(P18)
display,展示、展示する,products on display(P20)
candidate,候補者,a successful candidate(P20)
state,述べる,What is stated about the hotel?(P20)
exhibit,展示物、展示会、展示する,a museum exhibit(P20)
session,時間、集まり,a Q&A session(P20)
note,注意する、述べる,Please note that prices may change.(P20)
process,処理する、過程、処理,process an order(P20)
instruction,説明書、説明、指示,Please read all the instruction.(P20)
membership,会員(であること)、会員資格、会員数,sign up for membership(P20)
agency,代理店、機関,a travel agency(P20)
based,拠点のある、基づく,a Seattle-based company(P22)
facility,施設,a research facility(P22)
advance,先行した、事前の、進歩、前進,advance notice(P22)
committee,委員会,join a committee(P22)
successful,成功した、上手くいく,The event was successful.(P22)
excellent,素晴らしい,excellent service(P22)
industry,産業、業界,the fashion industry(P22)
fee,料金,pay a late fee(P22)
accept,受け入れる,accept an offer(P22)
upcoming,今度の,prepare for an upcoming event(P22)
latest,最新の,Haruki Murakami's latest novel(P22)
submit,提出する,submit a report(P22)
transportation,輸送手段,use public transportation(P22)
resume,履歴書,send a resume(P22)
executive,重役、重役(用)の、高級な,a company executive(P22)
introduce,導入する、紹介する,introduce a new line of products(P22)
previous,前の、以前の,have no previous experience(P22)
proposal,提案、提案書,review a proposal(P22)
supply,必需品、供給する,office supplies(P22)
enclose,同封する、囲む,My resume is enclosed.(P22)
policy,規定、方針,returns policy(P24)
register,登録する、レジ,register for employee training(P24)
arrange,手配する、並べる,arrange a meeting(P24)
billm,請求書、請求書を送る,receive a bill(P24)
hire,雇う,hire an assistant(P24)
approve,承認する、賛成する,approve a plan(P24)
conduct,実行する、実施する,conduct a survey(P24)
opportunity,機会、チャンス,an opportunity to work with you(P24)
deadline,締め切り、期限,the deadline for the project(P24)
corporate,企業の、法人の,a corporate trainer(P24)
warranty,保証、保証書,a three-year warranty(P26)
necessaly,必要な,necessaly forms(P26)
reserve,予約する、確保する、蓄え,reserve a room at a hotel(P26)
resident,住民、住人,local residents(P26)
create,創造する、作り出す,create a new logo(P26)
inform,知らせる、影響を与える,We are happy to inform you that(P26)
allow,許す、可能にする,allow customers to pay online(P26)
mention,述べる、言及する、言及,What problem does the man mention?(P26)
appreciate,感謝する,I really appreciate your help.(P26)
replacement,交換、交換品、後任,replacement parts(P26)
